category,title,hj_as,hj_pfx,vt_as,vt_pfx,propagation,is_moas,moas_duration,is_submoas,submoas_duration,diff_cider,global_hege_freq_hijacked,global_hege_freq_normal,local_hege_hijacker,local_hege_freq_hijacked,local_hege_freq_normal,edit_distance,prepending,local_similarity,local_hege_freq,global_hege_freq,local_union,hege_score
origin_change,backconnect_2.pickle,['203959'],82.118.233.0/24,201133,82.118.233.0/24,0.634375,1,544.6305418719212,0,,,0.0,0.0,0,0,0,4,0.0,0.92768072098811294,0.0,0.0,0.16666666666666666,"{'203959': {'web': {'200039': 0.125, '6762': 0.113575268817204, '3223': 1.0, '1299': 0.372311827956989, '25369': 0.125, '3356': 0.00201612903225806}, 'loc': {'48452': 0.4414743022256765, '1299': 0.15539180445722503, '8262': 0.22073715111283826, '6762': 0.21672226678296408, '3223': 1.0}}}"
prepend,prepend_135700.pickle,['10'],131.108.159.0/24,61681,131.108.159.0/24,0.14,1,26.428571428571427,0,,,0,0.0,0,0,0.413411458333,4,0.563861895507031,0.0,0.2067057291665,0.0,0.0,"{'10': {'web': {'27373': 0.189236111111111, '6461': 0.0138888888888889, '46392': 0.189236111111111, '19800': 0.189236111111111, '29076': 0.0138888888888889, '50214': 0.0138888888888889, '11404': 0.173611111111111, '3175': 0.0138888888888889, '16713': 0.189236111111111}, 'loc': {'8167': 0.1, '53062': 3.9, '61681': 1.0, '262589': 0.9, '3257': 0.1, '7738': 0.1, '262195': 0.5, '3491': 0.5}}}"
forged_as_path,torg_2.pickle,['60937'],154.70.0.0/18,15399,154.70.0.0/18,0.07633587786259542,0,,0,,,0.0625,0.0,0,3.401325836809999e-06,0,4,0.0,2.8122103544636623e-05,1.7006629184049995e-06,0.03125,0.0,"{'1273': {'web': {'5089': 8.67938705735657e-06, '2914': 0.00971192315140532, '6461': 3.40132583681119e-06, '3257': 8.95469262648526e-05, '3356': 0.0335585253419756, '174': 0.00170884577335117, '1299': 0.0493623131428749}, 'loc': {'60937': 1.0, '6461': 1.0, '12389': 1.0, '16509': 1.0, '3267': 0.07142857142857142}}}"
origin_change,bitcanal_5.pickle,['24196'],61.80.160.0/20,4766,61.80.0.0/14,0.4072727272727273,0,,0,,,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"{'24196': {'web': {}, 'loc': {'6939': 0.14106280193236717, '197426': 1.0}}}"
forged_as_path,enzu_1.pickle,['18978'],23.21.112.0/20,14618,23.20.0.0/15,0.1450381679389313,0,,0,,,0.7241379310344828,0,0.0,0.0,0,2,0.0,0.0,0.0,0.3620689655172414,0.0,"{'14618': {'web': {'209': 0.000628231650605041, '3356': 0.1209959434886, '2914': 0.227975695288017, '1299': 0.0364828352879681, '16509': 1.0}, 'loc': {'18978': 1.0, '4826': 0.008616975441619991, '3257': 1.0, '40633': 1.0, '6939': 0.5522763176791613, '7545': 0.013356311934510985, '12989': 0.09090909090909091}}}"
typo,typo_asn_152909.pickle,['265790'],168.227.20.0/24,265791,168.227.20.0/24,0.9974747474747475,1,30.385012919896642,0,,,0.0013123359580052493,0,0,0.07652111822752397,0.0,1,0.0,0.0,0.038260559113761985,0.0006561679790026247,0.0,"{'265791': {'web': {'3257': 0.0324074074074074, '52468': 1.0, '1299': 0.0740740740740741, '265790': 1.0, '265780': 1.0, '5511': 1.0, '174': 0.0277777777777778, '3356': 0.12962962962963}, 'loc': {'2914': 0.030479337234555457, '52468': 1.0, '1299': 0.07373529599210595, '265790': 1.0, '265780': 1.0, '5511': 0.9716373311414633, '174': 0.06473401709524328, '3356': 0.04757792983599435}}, '265790': {'web': {'12956': 0.569444444444444, '11664': 0.430555555555556, '6762': 0.00462962962962963, '3257': 0.0648148148148148, '3356': 0.111111111111111, '22927': 0.569444444444444, '19037': 0.430555555555556, '174': 0.0694444444444444, '1299': 0.175925925925926}, 'loc': {'2914': 0.02051799100285559, '3257': 0.003160621761658031, '52468': 1.0, '1299': 0.12212125852718506, '265780': 1.0, '5511': 0.9695097648465524, '174': 0.0721801370293683, '3356': 0.10584403922331258}}}"
origin_change,bitcanal_hijack_1.pickle,['197426'],101.124.128.0/18,131486,101.124.0.0/16,0.9973544973544973,0,,0,,,0.0,0,0,0.8780815884831888,0.0,3,0.0,0.98953027647647795,0.4390407942415944,0.0,0.5,"{'197426': {'web': {'174': 0.877750570704948, '1299': 0.000443786982248521, '3356': 0.00384615384615385, '3257': 8.87573964497042e-05}, 'loc': {'174': 1.0, '2914': 0.03717530414548397, '1299': 0.14394628998905856, '3257': 0.031929986654347604}}}"
forged_as_path,defcon_1.pickle,['26627'],24.120.56.0/24,20195,24.120.56.0/22,0.9116279069767442,1,-21533.8,0,,,0.9101796407185628,0,0,0.0,0.0,1,0.0,0.0,0.0,0.4550898203592814,0.0,"{'20195': {'web': {'26627': 0.0178501087935174, '3561': 0.0191521921268507, '4436': 0.0178501087935174, '23005': 1.0, '19151': 0.312012357026144, '22822': 0.306400633169935, '3356': 0.178385416666667}, 'loc': {'26627': 1.0, '3561': 1.0, '2914': 0.002061855670103093, '3549': 0.13957096740601896, '3257': 0.021477663230240546, '1299': 0.04810996563573883, '23005': 1.0, '4436': 1.0, '22822': 1.0, '3356': 0.061459960429032595}}, '26627': {'web': {'4436': 0.486346437526851, '1299': 0.29735809178744, '3561': 0.0484299516908213, '3549': 0.0630752606153064}, 'loc': {'22691': 1.0}}}"
forged_as_path,backconnect_5.pickle,['203959'],146.84.2.0/24,36351,146.84.0.0/18,1.0,0,,0,,,0.3739612188365651,0,0,0.0,0,4,0.0,0.0,0.0,0.18698060941828254,0.0,"{'6939': {'web': {'1299': 0.0432997161664352}, 'loc': {'42708': 1.0, '36236': 1.0, '4134': 1.0, '203959': 1.0, '3223': 1.0}}, '4134': {'web': {'2914': 0.00301938308223892, '701': 2.75516142377892e-06, '3257': 0.00135532339175106, '6453': 0.00288982985636138, '1299': 0.00363199909374627, '174': 0.105635762958791, '3356': 0.0350853372141174}, 'loc': {'6939': 0.053610011019494315, '203959': 1.0, '3223': 1.0}}}"
origin_change,amazon_1.pickle,['10297'],205.251.192.0/24,16509,205.251.192.0/24,0.21052631578947367,0,,0,,,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,"{'10297': {'web': {'174': 0.307648601398601, '2914': 0.149519230769231, '1299': 0.00170454545454545, '3356': 0.447836538461538, '3257': 0.000262237762237762}, 'loc': {'6939': 0.853448275862069, '19151': 0.008620689655172414}}}"
